"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/12/10 00:00:00","019120LC030    ","30113","11","0","0"
"2023/12/10 00:00:00","019120LC050    ","20115","5","0","0"
"2023/12/10 00:00:00","019120LC060    ","30116","10","0","0"
"2023/12/10 00:00:00","019120LC070    ","20117","11","0","0"
"2023/12/10 00:00:00","019128GA010    ","50460","26","0","0"
"2023/12/10 00:00:00","01912ECB010    ","30464","7","0","0"
"2023/12/10 00:00:00","01912ECB040    ","50491","30","0","0"
"2023/12/10 00:00:00","01912ECB060    ","20459","1","0","0"
"2023/12/10 00:00:00","01912TFA050    ","10118","10","0","0"
"2023/12/10 00:00:00","0355045013U    ","10111","2","0","0"
"2023/12/10 00:00:00","0355113017A    ","10001","1","0","0"
"2023/12/10 00:00:00","0355141009R    ","10014","","",""
"2023/12/10 00:00:00","0355183043P    ","20106","2","0","0"
"2023/12/10 00:00:00","0355237001E    ","C0312","","",""
"2023/12/10 00:00:00","1040043104R    ","10127","","",""
"2023/12/10 00:00:00","1040043104R    ","10530","3","0","0"
"2023/12/10 00:00:00","1040052001Z    ","10017","3","0","0"
"2023/12/10 00:00:00","1040052001Z    ","10373","7","0","0"
"2023/12/10 00:00:00","1040052103H    ","20112","4","0","0"
"2023/12/10 00:00:00","1040183004C    ","20086","2","0","0"
"2023/12/10 00:00:00","1040183011P    ","20369","","",""
"2023/12/10 00:00:00","1040183011P    ","20655","2","0","0"
"2023/12/10 00:00:00","1040183017V    ","20088","2","0","0"
"2023/12/10 00:00:00","2030044001J    ","10412","2","0","0"
"2023/12/10 00:00:00","2030045013L    ","20442","2","0","0"
"2023/12/10 00:00:00","2030052002N    ","20363","3","0","0"
"2023/12/10 00:00:00","2030113004A    ","10099","4","0","0"
"2023/12/10 00:00:00","2030183013A    ","10087","2","0","0"
"2023/12/10 00:00:00","3040040039Y    ","10098","3","0","0"
"2023/12/10 00:00:00","3040052001B    ","20379","3","0","0"
"2023/12/10 00:00:00","3040052001B    ","20506","5","0","0"
"2023/12/10 00:00:00","3040141002R    ","10507","1","0","0"
"2023/12/10 00:00:00","321110LC010    ","40081","76","0","0"
"2023/12/10 00:00:00","321118LA010    ","40509","","",""
"2023/12/10 00:00:00","333560LC020    ","30043","7","0","0"
"2023/12/10 00:00:00","33490ECB010    ","30439","33","0","0"
"2023/12/10 00:00:00","33490ECE010    ","30440","65","0","0"
"2023/12/10 00:00:00","34989ECB010    ","10394","2","0","0"
"2023/12/10 00:00:00","34989ECB020    ","10397","7","0","0"
"2023/12/10 00:00:00","34989ECB030    ","10398","4","0","0"
"2023/12/10 00:00:00","34989ECC010    ","10399","2","0","0"
"2023/12/10 00:00:00","34989ECE010    ","10395","4","0","0"
"2023/12/10 00:00:00","34989ECE020    ","10396","1","0","0"
"2023/12/10 00:00:00","34989ECE030    ","10505","3","0","0"
"2023/12/10 00:00:00","34989ECE040    ","10521","1","0","0"
"2023/12/10 00:00:00","350610LC010    ","40030","216","0","0"
"2023/12/10 00:00:00","350710LC010    ","30069","81","0","0"
"2023/12/10 00:00:00","35080ECB010    ","30476","","",""
"2023/12/10 00:00:00","35080ECE010    ","30472","","",""
"2023/12/10 00:00:00","35080ECE020    ","30473","","",""
"2023/12/10 00:00:00","351060LC040    ","50107","30","0","0"
"2023/12/10 00:00:00","351190LC010    ","50079","31","0","0"
"2023/12/10 00:00:00","35141ECB010    ","98004","16","0","0"
"2023/12/10 00:00:00","35141ECE010    ","98006","28","0","0"
"2023/12/10 00:00:00","35145ECB010    ","10447","6","0","0"
"2023/12/10 00:00:00","35145ECE010    ","10449","5","0","0"
"2023/12/10 00:00:00","35145ECE020    ","10494","4","0","0"
"2023/12/10 00:00:00","35165ECE010    ","10492","3","0","0"
"2023/12/10 00:00:00","351680LC030    ","50108","24","0","0"
"2023/12/10 00:00:00","351710LC010    ","30072","55","0","0"
"2023/12/10 00:00:00","351720LC010    ","10080","9","0","0"
"2023/12/10 00:00:00","35174ECB010    ","30391","17","0","0"
"2023/12/10 00:00:00","35174ECE010    ","30392","14","0","0"
"2023/12/10 00:00:00","35174ECE020    ","20393","8","0","0"
"2023/12/10 00:00:00","3519510A010    ","10479","3","0","0"
"2023/12/10 00:00:00","35195ECE010    ","10450","4","0","0"
"2023/12/10 00:00:00","35195TFG010    ","10448","3","0","0"
"2023/12/10 00:00:00","351980LC020    ","20010","7","0","0"
"2023/12/10 00:00:00","351980LC030    ","20011","11","0","0"
"2023/12/10 00:00:00","351980LC040    ","20012","8","0","0"
"2023/12/10 00:00:00","351988LA010    ","20508","1","0","0"
"2023/12/10 00:00:00","351988LA020    ","10511","","",""
"2023/12/10 00:00:00","351988LA030    ","20512","","",""
"2023/12/10 00:00:00","351988LA040    ","10513","","",""
"2023/12/10 00:00:00","35198ECE010    ","20434","5","0","0"
"2023/12/10 00:00:00","352400LC020    ","40105","8","0","0"
"2023/12/10 00:00:00","352450LC010    ","10097","4","0","0"
"2023/12/10 00:00:00","35246TFG010    ","10093","2","0","0"
"2023/12/10 00:00:00","35275TBG010    ","10101","6","0","0"
"2023/12/10 00:00:00","352800LA010    ","40091","18","0","0"
"2023/12/10 00:00:00","35300ECB010    ","40428","100","0","0"
"2023/12/10 00:00:00","35312ECB010    ","20359","7","0","0"
"2023/12/10 00:00:00","35352ECB010    ","20444","3","0","0"
"2023/12/10 00:00:00","3539450A010    ","20109","2","0","0"
"2023/12/10 00:00:00","3539450A010    ","20441","5","0","0"
"2023/12/10 00:00:00","35409ECB010    ","10437","4","0","0"
"2023/12/10 00:00:00","354110LC030    ","30096","70","0","0"
"2023/12/10 00:00:00","35419TRA010    ","10089","6","0","0"
"2023/12/10 00:00:00","354210LC040    ","10094","6","0","0"
"2023/12/10 00:00:00","354260LC010    ","30036","58","0","0"
"2023/12/10 00:00:00","354320LC040    ","10104","9","0","0"
"2023/12/10 00:00:00","35441ECB010    ","20141","20","0","0"
"2023/12/10 00:00:00","35441TFA010    ","20140","6","0","0"
"2023/12/10 00:00:00","354710LC010    ","30103","15","0","0"
"2023/12/10 00:00:00","354820LC010    ","10085","6","0","0"
"2023/12/10 00:00:00","3548255A010    ","10433","1","0","0"
"2023/12/10 00:00:00","35482TFA010    ","10429","1","0","0"
"2023/12/10 00:00:00","35501ECB010    ","20469","6","0","0"
"2023/12/10 00:00:00","35505ECB010    ","10478","11","0","0"
"2023/12/10 00:00:00","35556ECB010    ","10126","4","0","0"
"2023/12/10 00:00:00","35557ECB010    ","10456","10","0","0"
"2023/12/10 00:00:00","35580ECB011    ","50501","99","0","0"
"2023/12/10 00:00:00","35595ECB010    ","20432","6","0","0"
"2023/12/10 00:00:00","3559850A010    ","10421","4","0","0"
"2023/12/10 00:00:00","356030LC020    ","30039","8","0","0"
